,NMP_corr,NMP_pval,NMP_qval,NMP_ci_low,NMP_ci_high,gene_annotation
ENSMUSG00000040297,0.0009966279602901303,0.7658837150057725,0.7682932368057905,-0.005563406143022893,0.007556576286769718,Suco
ENSMUSG00000039787,0.0008734054110080856,0.7941325210243666,0.7964356707728544,-0.005686624901169696,0.007433360551737033,Cercam
ENSMUSG00000024120,0.0008688688892094476,0.7951779434924084,0.7974515508792425,-0.005691161279593156,0.007428824277007787,Lrpprc
ENSMUSG00000060260,0.000786724552432326,0.814169627425496,0.8162974800943638,-0.005773302973519186,0.0073466843672931985,Pwwp2b
ENSMUSG00000039671,0.000765004727947354,0.8192100380138898,0.8213175243299858,-0.00579502208440823,0.0073249656985721065,Zmynd8
ENSMUSG00000040018,0.0007099137321413081,0.8320278182235202,0.834066102932544,-0.005850111242463793,0.007269877606532312,Cox15
ENSMUSG00000037661,0.0006364026305879809,0.849200555951471,0.8512114007397942,-0.005923619829786055,0.007196370317629612,Gpr160
ENSMUSG00000066944,0.0006170306473384078,0.8537382854062208,0.8556550754497911,-0.005942991138670663,0.007176999327304313,4921513D11Rik
ENSMUSG00000058925,0.0006126333331304817,0.8547690003470724,0.8566531348077934,-0.0059473882991164925,0.007172602237798118,1700011I03Rik
ENSMUSG00000016024,0.000609986283052537,0.8553895791802412,0.8572400893111262,-0.005950035256511988,0.0071699553228615,Lbp
ENSMUSG00000025557,0.00044181616956242615,0.8949828793044248,0.896553088770747,-0.00611819929334163,0.007001793606619588,Slc15a1
ENSMUSG00000090314,0.00040531153462328097,0.9036155801700649,0.9051270745516475,-0.006154702560210066,0.006965290745457583,2310050C09Rik
ENSMUSG00000006705,0.00038533544058483115,0.908344467687378,0.9097896369542897,-0.00617467789821067,0.006945315614665772,Pknox1
ENSMUSG00000041669,0.00037907028043683837,0.909828279752557,0.9112014654083125,-0.006180942820161863,0.0069390507555451625,Prima1
ENSMUSG00000054988,0.00035543332948691344,0.915429137410454,0.9167359865277752,-0.006204578867815825,0.006915414935663227,Agtr1b
ENSMUSG00000071537,0.00034712315905563847,0.917399273658559,0.9186714645103573,-0.006212888718928937,0.00690710516114613,Klrg2
ENSMUSG00000032207,0.0003262428230717063,0.9223516980140817,0.9235930865713011,-0.006233768248588076,0.006886225815947605,Lipc
ENSMUSG00000001833,0.00030215630896257074,0.9280682971640695,0.9292794792810861,-0.0062578538254563125,0.006862140437654346,Sept7
ENSMUSG00000049553,0.0002848354652780426,0.9321814717778872,0.9333218944250341,-0.006275173990457181,0.00684482040604126,Polr1a
ENSMUSG00000024503,0.0002679222686051926,0.9361995917341289,0.9372684870435628,-0.006292086520621087,0.006827907998529606,Spink1
ENSMUSG00000043313,0.00025908862221541345,0.9382988808686755,0.9393318704622924,-0.006300919817405884,0.0068190747628213725,Pcdhb19
ENSMUSG00000022435,0.0002549308023855497,0.9392871234153056,0.9402742205926843,-0.006305077472329377,0.006814917135936729,Upk3a
