,Endothelial_2_corr,Endothelial_2_pval,Endothelial_2_qval,Endothelial_2_ci_low,Endothelial_2_ci_high,gene_annotation
ENSMUSG00000032952,-0.175573566021688,3.092867931388796e-280,4.780321377726114e-280,-0.18497824419346615,-0.16613673217327563,Ap4b1
ENSMUSG00000100627,-0.17570470721455575,1.1641627629568425e-280,1.8001589035980243e-280,-0.18510892639296625,-0.16626830987090052,A830008E24Rik
ENSMUSG00000036330,-0.17583853469130523,4.2916063696802204e-281,6.640269796812968e-281,-0.18524228513147833,-0.16640258314015416,Slc18a1
ENSMUSG00000109305,-0.1760833525398261,6.900234342813057e-282,1.0693064222552391e-281,-0.18548624459538496,-0.16664821740665914,1810010D01Rik
ENSMUSG00000055044,-0.17623025028560277,2.3015102530785587e-282,3.568786250703301e-282,-0.18563262672930445,-0.1667956055888512,Pdlim1
ENSMUSG00000030834,-0.17663516357222095,1.110133901094652e-283,1.7230077620590594e-283,-0.1860361166076216,-0.1672018729117707,Abcc6
ENSMUSG00000027075,-0.17665985916425445,9.225031881696488e-284,1.4322359698333314e-283,-0.18606072528363746,-0.167226651189897,Slc43a1
ENSMUSG00000105283,-0.1767800109278417,3.746160924686052e-284,5.819731124259828e-284,-0.18618045400538394,-0.16734720541716352,Gm33370
ENSMUSG00000033187,-0.1770724585236679,4.16642742925945e-285,6.481685484224408e-285,-0.18647187075693805,-0.16764063378242014,BC016579
ENSMUSG00000058755,-0.17707942640567356,3.9538219161858856e-285,6.1518934435753624e-285,-0.18647881405778458,-0.16764762505270672,Osm
ENSMUSG00000038917,-0.17718963342731325,1.7262993652849324e-285,2.686429139876957e-285,-0.18658863216836244,-0.1677582021196286,3930402G23Rik
ENSMUSG00000036123,-0.1773111139002468,6.920192356128402e-286,1.0770727402534479e-285,-0.18670968367504798,-0.1678800907660129,Slc9a3
ENSMUSG00000020690,-0.17744561322760036,2.513218701097948e-286,3.914061207129649e-286,-0.18684370773166697,-0.16801504234643586,Efcab3
ENSMUSG00000110737,-0.17746330064829716,2.1996603029074984e-286,3.426795922896866e-286,-0.18686133262555177,-0.16803278926726242,RP23-440F7.2
ENSMUSG00000099139,-0.1775919700163798,8.339704858630602e-287,1.2994242534482084e-286,-0.18698954695238162,-0.16816189166051215,1110028F18Rik
ENSMUSG00000054630,-0.17760716174151445,7.437004134870801e-287,1.1589534260356554e-286,-0.18700468493060812,-0.1681771345333814,Ugt2b5
ENSMUSG00000013089,-0.17802212714559906,3.2404590488657207e-288,5.056107113224716e-288,-0.18741818049979034,-0.16859349879334024,Etv5
ENSMUSG00000107785,-0.17813077320632478,1.424804363407024e-288,2.225561329907879e-288,-0.18752644117891992,-0.1687025116577015,Gm45083
ENSMUSG00000011008,-0.1783541881075364,2.6254229417640253e-289,4.10350569203505e-289,-0.18774906288132237,-0.16892668156232762,Mcoln2
ENSMUSG00000022453,-0.17836574144444622,2.405394880777185e-289,3.760779988707294e-289,-0.18776057517371234,-0.16893827396885341,Naga
ENSMUSG00000020078,-0.1783889582614952,2.0173911669125327e-289,3.1546382594410207e-289,-0.18778370950262002,-0.16896156930548978,Vps26a
ENSMUSG00000044468,-0.17845697538005334,1.2047965790139567e-289,1.8851456407666353e-289,-0.1878514848998988,-0.16902981651948584,Fam46c
ENSMUSG00000026893,-0.17895474565918332,2.7522964226412232e-291,4.3105660495555574e-291,-0.18834748346495375,-0.1695292734597065,Gca
ENSMUSG00000037139,-0.17933986168541083,1.467253253958216e-292,2.300851895810281e-292,-0.1887312254598974,-0.16991569774771897,Myom3
ENSMUSG00000045746,-0.17952374672742583,3.610217501567413e-293,5.663974743594938e-293,-0.18891445341836355,-0.17010020848032248,B230317F23Rik
ENSMUSG00000061577,-0.1796597703658879,1.2782846466847622e-293,2.0064113117010865e-293,-0.18904999057754837,-0.17023669538045583,Adgrg5
ENSMUSG00000022755,-0.1802798580565481,1.1127253177267754e-295,1.7490181039402317e-295,-0.18966785603361855,-0.1708588995119562,Adgrg7
ENSMUSG00000027397,-0.18029531152908454,9.884284366014453e-296,1.5538884398702176e-295,-0.18968325402993091,-0.17087440582518768,Slc20a1
ENSMUSG00000024254,-0.18049287858346752,2.1719292251979744e-296,3.416594659741976e-296,-0.1898801114339563,-0.1710726488399456,Abcg8
ENSMUSG00000035539,-0.18149201542518031,9.923939555802896e-300,1.5655370808964972e-299,-0.1908756478690209,-0.17207521583371765,Ccdc180
ENSMUSG00000054200,-0.18158948143283016,4.674936170702208e-300,7.377207149601085e-300,-0.19097276162289012,-0.17217301749775532,Ffar4
ENSMUSG00000063903,-0.1827371637458451,6.396956519679962e-304,1.0126573562893717e-303,-0.19211628225909083,-0.17332466619725018,Klk1
ENSMUSG00000028841,-0.18283628869985896,2.958100008726561e-304,4.684985759782327e-304,-0.1922150465755525,-0.17342413493443048,Cnksr1
ENSMUSG00000019852,-0.1840162715710689,2.940490858908192e-308,4.683055994438911e-308,-0.19339072182773345,-0.17460822494689984,Arfgef3
ENSMUSG00000052102,-0.1842221933812756,5.84839008996375e-309,9.321629088243145e-309,-0.1935958891453848,-0.17481486629349377,Gnpda1
ENSMUSG00000020481,-0.18431187779272656,2.89266007140268e-309,4.611286579631244e-309,-0.19368524469901527,-0.1749048643411946,Ankrd36
ENSMUSG00000015085,-0.1843129030585475,2.869467270691193e-309,4.57504348005611e-309,-0.19368626620445786,-0.17490589319339164,Entpd2
ENSMUSG00000032595,-0.18455363518285084,4.3283656562117e-310,6.91101014882914e-310,-0.19392611483036598,-0.17514746796650651,Cdhr4
ENSMUSG00000034796,-0.18476926028305687,0.0,0.0,-0.19414094762486894,-0.17536384879351075,Cpne7
ENSMUSG00000071177,-0.18518785211538502,0.0,0.0,-0.19455799879200955,-0.1757839103084139,Serpina1d
ENSMUSG00000026202,-0.1854697881730599,0.0,0.0,-0.1948388952491601,-0.1760668381781,Tuba4a
ENSMUSG00000028024,-0.18549447456221246,0.0,0.0,-0.1948634905374661,-0.17609161148452085,Enpep
ENSMUSG00000028622,-0.18551130200000662,0.0,0.0,-0.19488025586976035,-0.17610849817615892,Mrpl37
ENSMUSG00000021944,-0.1856690292351892,0.0,0.0,-0.1950374007104281,-0.17626678107956018,Gata4
ENSMUSG00000023403,-0.18588131027934196,0.0,0.0,-0.19524889716542443,-0.1764798107509001,Stk31
ENSMUSG00000023030,-0.1862308755035729,0.0,0.0,-0.19559716850058662,-0.17683061066598108,Slc11a2
