,Cardiomyocytes_corr,Cardiomyocytes_pval,Cardiomyocytes_qval,Cardiomyocytes_ci_low,Cardiomyocytes_ci_high,gene_annotation
ENSMUSG00000043587,0.47056047111721055,0.0,0.0,0.4654372201956206,0.4756521896984568,Pxylp1
ENSMUSG00000026247,0.470530674749232,0.0,0.0,0.46540724031306313,0.4756225777061575,Ecel1
ENSMUSG00000037686,0.4705170991194429,0.0,0.0,0.46539358107543877,0.4756090860766043,Aspg
ENSMUSG00000111180,0.470298300837641,0.0,0.0,0.4651734356236613,0.47539164129526906,RP23-9A12.5
ENSMUSG00000025350,0.4702601279355687,0.0,0.0,0.4651350277509252,0.4753537044695086,Rdh5
ENSMUSG00000055547,0.4701711231961546,0.0,0.0,0.4650454752239246,0.47526525009700726,Apobec4
ENSMUSG00000030930,0.4700625568477197,0.0,0.0,0.46493624083625334,0.4751573549366274,Chst15
ENSMUSG00000038860,0.4699051441904051,0.0,0.0,0.4647778598518454,0.47500091517702686,Garnl3
ENSMUSG00000049685,0.4698774535799638,0.0,0.0,0.4647499989359986,0.4749733956766353,Cyp2g1
ENSMUSG00000055254,0.4695745023971018,0.0,0.0,0.46444518517737,0.4746723158849598,Ntrk2
ENSMUSG00000026193,0.46955444260247714,0.0,0.0,0.4644250020959153,0.47465237996166054,Fn1
ENSMUSG00000042842,0.4692221145636106,0.0,0.0,0.4640906323553229,0.47432210332197416,Serpinb6b
ENSMUSG00000013338,0.46913577448166854,0.0,0.0,0.46400376207087024,0.4742362959663581,Fer1l4
ENSMUSG00000033029,0.4691338064002957,0.0,0.0,0.4640017819049323,0.47423434002710046,1700088E04Rik
ENSMUSG00000023078,0.46904270326718656,0.0,0.0,0.46391011942947485,0.4741437989013859,Cxcl13
ENSMUSG00000037872,0.46896137384752573,0.0,0.0,0.4638282907675993,0.47406297110477336,Ackr1
ENSMUSG00000015889,0.46891171177671415,0.0,0.0,0.4637783238882752,0.4740136152970669,Lta4h
ENSMUSG00000109903,0.4688873104699454,0.0,0.0,0.46375377282674024,0.473989364459993,RP24-388A6.3
ENSMUSG00000014542,0.4687746635286518,0.0,0.0,0.46364043465515814,0.4738774120512749,Clec4f
ENSMUSG00000001655,0.46858934797808405,0.0,0.0,0.46345398232679913,0.4736932387177754,Hoxc13
ENSMUSG00000000120,0.4685317481830898,0.0,0.0,0.4633960292910708,0.47363599385584493,Ngfr
ENSMUSG00000001604,0.4683977364869469,0.0,0.0,0.46326119591495973,0.47350280778015086,Tcea3
ENSMUSG00000053184,0.46837623273389184,0.0,0.0,0.4632395603358284,0.47348143648587293,Spaca3
ENSMUSG00000019866,0.4683401830406828,0.0,0.0,0.46320328965820734,0.4734456088380103,Aim1
ENSMUSG00000055471,0.46822154034518704,0.0,0.0,0.46308391980517827,0.47332769679389486,Alk
ENSMUSG00000025432,0.4680403673577828,0.0,0.0,0.46290163677356866,0.4731476391925317,Avil
