,Mesenchyme_corr,Mesenchyme_pval,Mesenchyme_qval,Mesenchyme_ci_low,Mesenchyme_ci_high,gene_annotation
ENSMUSG00000090399,0.3213995305731419,0.0,0.0,0.31550473677992824,0.3272695197310286,Gm38399
ENSMUSG00000019303,0.32134546558624033,0.0,0.0,0.31545044544664697,0.32721568430201964,Psmc3ip
ENSMUSG00000012520,0.32122697047785775,0.0,0.0,0.31533145438621585,0.3270976921861069,Phox2b
ENSMUSG00000028607,0.3212036880128832,0.0,0.0,0.31530807449608783,0.327074508529894,Cpt2
ENSMUSG00000025279,0.32119567965691054,0.0,0.0,0.3153000326309144,0.32706653415905595,Dnase1l3
ENSMUSG00000021373,0.3211544302028378,0.0,0.0,0.3152586105910038,0.32702545974242997,Cap2
ENSMUSG00000085261,0.32115245860824,0.0,0.0,0.3152566307479065,0.3270234965135179,Gm13814
ENSMUSG00000037578,0.3211485725006935,0.0,0.0,0.315252728382322,0.32701962689499114,Pkd2l1
ENSMUSG00000044719,0.32106681470890874,0.0,0.0,0.3151706285923701,0.3269382159614574,E230025N22Rik
ENSMUSG00000084918,0.32105312928443835,0.0,0.0,0.31515688592950053,0.32692458858902324,Gm12708
ENSMUSG00000028883,0.3210307095888434,0.0,0.0,0.3151343724703281,0.32690226398998684,Sema3a
ENSMUSG00000045019,0.3210142321681196,0.0,0.0,0.3151178261420203,0.3268858564565786,Acer1
ENSMUSG00000039084,0.3208825919084742,0.0,0.0,0.3149856354994281,0.3267547744086981,Chad
ENSMUSG00000063952,0.320852200468069,0.0,0.0,0.31495511702606743,0.32672451180907514,Brpf3
ENSMUSG00000007891,0.3208152629721105,0.0,0.0,0.3149180251517617,0.32668773088888686,Ctsd
ENSMUSG00000000982,0.32079979933272645,0.0,0.0,0.3149024968882486,0.3266723327936357,Ccl3
ENSMUSG00000054256,0.32077070091678606,0.0,0.0,0.31487327687561456,0.32664335770569647,Msi1
ENSMUSG00000038242,0.3207591723138907,0.0,0.0,0.31486170009999287,0.3266318779614989,Aox4
ENSMUSG00000005994,0.32074659651405807,0.0,0.0,0.31484907175368093,0.3266193554564523,Tyrp1
ENSMUSG00000027102,0.32069628064102806,0.0,0.0,0.3147985456626676,0.32656925279564847,Hoxd8
ENSMUSG00000035873,0.3206264223129502,0.0,0.0,0.3147283955243216,0.3264996904357268,Pawr
ENSMUSG00000036218,0.32056469709386565,0.0,0.0,0.31466641252198174,0.32643822667438466,Pdzrn4
ENSMUSG00000009092,0.32055426691465944,0.0,0.0,0.31465593878814857,0.3264278406707737,Derl3
ENSMUSG00000052133,0.32053952060254703,0.0,0.0,0.3146411309004344,0.32641315681222627,Sema5b
ENSMUSG00000064023,0.32049095517332843,0.0,0.0,0.31459236269873975,0.3263647970472175,Klk8
ENSMUSG00000048215,0.3204592906571948,0.0,0.0,0.3145605659923219,0.3263332666069801,A630023P12Rik
ENSMUSG00000036641,0.3204230095301421,0.0,0.0,0.31452413341822993,0.3262971390877004,Ccdc148
ENSMUSG00000031738,0.3203932619976295,0.0,0.0,0.3144942617245993,0.32626751748809196,Irx6
ENSMUSG00000022388,0.32027340249596403,0.0,0.0,0.3143739020682255,0.3261481652815426,Ttll8
