,NMP_2_corr,NMP_2_pval,NMP_2_qval,NMP_2_ci_low,NMP_2_ci_high,gene_annotation
ENSMUSG00000021368,0.023720191946999286,1.3583742096032606e-12,1.6975874780708161e-12,0.017162864833928586,0.0302754786795901,Tbc1d7
ENSMUSG00000064177,0.02371780230834347,1.3654020668850452e-12,1.706283480743199e-12,0.01716047455432672,0.030273089887202596,Ghrl
ENSMUSG00000021218,0.02369040331109542,1.4485757162788034e-12,1.8099455972558363e-12,0.017133068213508483,0.03024570058770322,Gdi2
ENSMUSG00000037708,0.023686037411615953,1.4622803450018853e-12,1.8269760841934906e-12,0.017128701144776284,0.030241336232604436,Spag6
ENSMUSG00000025854,0.023685607210901096,1.4636376168181898e-12,1.8285788096946973e-12,0.017128270828860828,0.030240906184054017,Fam20c
ENSMUSG00000010086,0.02368346773672616,1.4704059806344612e-12,1.8369413136181394e-12,0.01712613078180635,0.030238767466587175,Rnf112
ENSMUSG00000033565,0.02367703248746948,1.4909499326729419e-12,1.862416827625849e-12,0.01711969380976755,0.03023233449304441,Rbfox2
ENSMUSG00000046668,0.023669989316479935,1.5137574368193537e-12,1.8908105712652e-12,0.017112648753872025,0.0302252938121273,Cxxc5
ENSMUSG00000038057,0.02366376431276907,1.5342002312828893e-12,1.9162478546297755e-12,0.01710642208475661,0.030219071008689005,Dbil5
ENSMUSG00000035505,0.023661721707728484,1.540966939498147e-12,1.924601704067479e-12,0.01710437893335911,0.030217029125511212,Cox18
ENSMUSG00000104063,0.02365719854509567,1.556055576326293e-12,1.943347907317928e-12,0.017099854561063627,0.030212507561183027,Pcdhgb7
ENSMUSG00000075075,0.023642868609266315,1.604821592248773e-12,2.0041495286313263e-12,0.017085520794647088,0.030198182687208034,Olfr1253
ENSMUSG00000027210,0.023638780575844384,1.6190062919227092e-12,2.0217609724472994e-12,0.017081431668932234,0.030194096097334474,Meis2
ENSMUSG00000035582,0.023633784650047333,1.6365082880805187e-12,2.043409016373539e-12,0.017076434408557824,0.030189101935379194,Gdpd4
ENSMUSG00000053164,0.02363011474028729,1.6494830339214053e-12,2.0594003279348256e-12,0.01707276351865197,0.03018543332109443,Gpr21
ENSMUSG00000024766,0.023620635152080086,1.683466358202076e-12,2.101722059726298e-12,0.01706328139948976,0.030175957078357164,Lipo3
ENSMUSG00000061533,0.023604125444916524,1.7442990506112105e-12,2.1773364324879984e-12,0.017046767287215846,0.030159453194870622,Cep128
ENSMUSG00000044916,0.023586919831879195,1.8099901269958902e-12,2.258761695537415e-12,0.01702955708719398,0.03014225364718249,1700029I15Rik
ENSMUSG00000030655,0.023585240630643958,1.816529823064447e-12,2.2668076348603968e-12,0.01702787743849492,0.030140575037693938,Smg1
ENSMUSG00000079083,0.02357625664615974,1.8519139010982303e-12,2.3106103313224793e-12,0.01701889106063924,0.030131594218517233,Jrkl
ENSMUSG00000020802,0.02356901288322522,1.880935562018695e-12,2.346701047750546e-12,0.017011645368707088,0.030124353006991053,Ube2o
ENSMUSG00000052848,0.023564551157520448,1.899032703267191e-12,2.3691590920028496e-12,0.01700718245519764,0.030119892852459137,C130026L21Rik
ENSMUSG00000110367,0.023558724694925124,1.922922680361477e-12,2.398841402786189e-12,0.01700135444186953,0.030114068441228433,Gm45300
ENSMUSG00000097645,0.02355686622049935,1.9306047272030245e-12,2.4083023708103168e-12,0.016999495472898217,0.030112210621035484,Gm26863
ENSMUSG00000007888,0.023552450874368684,1.948976584432697e-12,2.4310965351314116e-12,0.016995078952012688,0.030107796829043406,Crlf1
ENSMUSG00000039264,0.023551934827592186,1.951134969322229e-12,2.4336651984758875e-12,0.01699456276795256,0.030107280963891293,Gimap3
ENSMUSG00000068615,0.02354538409773823,1.9787382735436212e-12,2.467969626215036e-12,0.016988010295715547,0.030100732539285066,Gjd2
ENSMUSG00000108145,0.023539483608714704,2.0039292779100443e-12,2.499135045016885e-12,0.016982108237744153,0.030094834126203264,Gm44191
ENSMUSG00000111221,0.023509116885038303,2.138633213292404e-12,2.6665848688616677e-12,0.01695173344674326,0.03006447807908961,RP24-198N9.1
ENSMUSG00000000901,0.0234952176916648,2.2032141335937456e-12,2.7468295032749527e-12,0.01693783056490177,0.030050583768465734,Mmp11
ENSMUSG00000019699,0.02348984153128033,2.228703522200293e-12,2.7783259140422237e-12,0.016932452978510596,0.030045209496032642,Akt3
ENSMUSG00000070369,0.02348650610600598,2.2446625507330546e-12,2.7980785411046892e-12,0.016929116668717693,0.030041875241872254,Itgad
ENSMUSG00000063549,0.023459209221240736,2.3795517703436268e-12,2.96592319349562e-12,0.01690181255060266,0.030014587935938458,Olfr322
ENSMUSG00000004613,0.023456914809649374,2.391245330303769e-12,2.9801957030263014e-12,0.016899517531465087,0.03001229432904076,Lim2
ENSMUSG00000079298,0.023451925601722077,2.4168678888767375e-12,3.0119760625197534e-12,0.016894527002664427,0.03000730687068506,Klrb1b
ENSMUSG00000032860,0.023443139666770793,2.4626450681712765e-12,3.0688692373231744e-12,0.016885738742465357,0.0299985240159147,P2ry2
ENSMUSG00000057564,0.023435072162256904,2.505427273270153e-12,3.1220245857650507e-12,0.016877669103732697,0.029990459338822266,Olfr1508
ENSMUSG00000106223,0.023420410167540425,2.585054239058685e-12,3.2207577223875387e-12,0.016863003232444496,0.02997580248051572,Gm43733
ENSMUSG00000043262,0.02341587016996572,2.610209675433962e-12,3.251934234092182e-12,0.016858462035085033,0.029971264072827547,Uevld
ENSMUSG00000030559,0.02341089849378116,2.6380323954752982e-12,3.28643045330371e-12,0.01685348904534639,0.029966294137391353,Rab38
ENSMUSG00000008575,0.0233926072409916,2.742920566560702e-12,3.41640552710016e-12,0.016835192962663347,0.029948009286184782,Nfib
ENSMUSG00000021130,0.023390842220994357,2.7532555351012713e-12,3.4291041392891197e-12,0.016833427476836384,0.02994624488367813,Galnt16
