,Cardiomyocytes_corr,Cardiomyocytes_pval,Cardiomyocytes_qval,Cardiomyocytes_ci_low,Cardiomyocytes_ci_high,gene_annotation
ENSMUSG00000023159,0.01497299552433035,7.683139899775191e-06,9.34028772129533e-06,0.008413824223397351,0.0215308784312528,Psg29
ENSMUSG00000075378,0.01495184151845852,7.913649155583466e-06,9.619562039206122e-06,0.008392666974748638,0.021509729487599907,Olfr361
ENSMUSG00000075186,0.014941124860350053,8.032934135654084e-06,9.762627408107072e-06,0.008381948676084572,0.02149901539178103,Olfr1058
ENSMUSG00000101370,0.014938108085770993,8.066822059314836e-06,9.8028417739209e-06,0.008378931439955557,0.021495999338223243,Gm29139
ENSMUSG00000041052,0.01493672939715086,8.082354552450577e-06,9.821230832554642e-06,0.008377552540443395,0.0214946209790755,Slc7a13
ENSMUSG00000044515,0.014934492182839052,8.107620164934874e-06,9.851444634736267e-06,0.00837531498396768,0.021492384299349382,Gm8385
ENSMUSG00000060490,0.014933156975265862,8.122735068517505e-06,9.869322086516642e-06,0.008373979572216549,0.02149104941079475,Vmn1r218
ENSMUSG00000034913,0.014929237934167134,8.167255365432854e-06,9.922433259048317e-06,0.008370059931959033,0.02148713130592988,Spert
ENSMUSG00000056071,0.014925250655454001,8.212790161977785e-06,9.977259973126105e-06,0.00836607204386153,0.021483144979545406,S100a9
ENSMUSG00000087682,0.014920929382097865,8.262413155857923e-06,1.0037047538598967e-05,0.00836175011031149,0.021478824738054354,Gm14003
ENSMUSG00000110874,0.014913127965708938,8.352726689429723e-06,1.0145754993265648e-05,0.008353947502661212,0.021471025183924165,RP24-295B16.1
ENSMUSG00000021519,0.014905840508331162,8.437942092758498e-06,1.0248249035934042e-05,0.008346658933224161,0.02146373946539803,Mterf3
ENSMUSG00000096409,0.014890479678523586,8.620292569204712e-06,1.0467650386226524e-05,0.008331295761650892,0.021448382298538567,Olfr890
ENSMUSG00000026934,0.014883145828259918,8.708676177875624e-06,1.057445190500506e-05,0.008323960794430431,0.02144105019601557,Lhx3
ENSMUSG00000095683,0.01488305733474102,8.709747923241781e-06,1.0575230256240157e-05,0.008323872287438139,0.021440961723581387,Gm10662
ENSMUSG00000049674,0.014877381509262927,8.77875178161645e-06,1.065795943936345e-05,0.008318195598014116,0.021435287250226816,Olfr714
ENSMUSG00000091382,0.01487460789331531,8.81266174436142e-06,1.0698070266875727e-05,0.008315421560034245,0.02143251429487017,Vmn1r18
ENSMUSG00000092609,0.014873159815573063,8.83041550078735e-06,1.071909232548853e-05,0.008313973261993202,0.021431066561975916,Gm20481
ENSMUSG00000026155,0.01487278260790173,8.835045758949282e-06,1.0724182700040678e-05,0.008313595996941073,0.02143068944412902,Smap1
ENSMUSG00000031634,0.014868000427750534,8.893948971624136e-06,1.0795147080844165e-05,0.008308813089486972,0.021425908402596273,Ufsp2
ENSMUSG00000049618,0.014867374175763714,8.9016903927116e-06,1.0804009220517831e-05,0.008308186742278182,0.021425282299695397,Olfr103
ENSMUSG00000075197,0.014866792849714202,8.908882223372256e-06,1.0812203477421435e-05,0.008307605327842324,0.021424701112032127,Olfr1046
ENSMUSG00000099808,0.014861998776001082,8.968403796280871e-06,1.0882827559249145e-05,0.008302810525394668,0.021419908179392277,1700019P21Rik
