,Surface ectoderm_corr,Surface ectoderm_pval,Surface ectoderm_qval,Surface ectoderm_ci_low,Surface ectoderm_ci_high,gene_annotation
ENSMUSG00000020133,0.19385127437235816,0.0,0.0,0.1875297514607566,0.2001567399982193,2310011J03Rik
ENSMUSG00000023972,0.19373618979374205,0.0,0.0,0.187414378677392,0.2000419524134203,Ptk7
ENSMUSG00000021609,0.19367509962715304,0.0,0.0,0.18735313559439695,0.1999810198292633,Slc6a3
ENSMUSG00000002109,0.1936116930176865,0.0,0.0,0.18728957032215487,0.19991777672592131,Ddb2
ENSMUSG00000057342,0.19359696639966503,0.0,0.0,0.18727480686119707,0.19990308807579463,Sphk2
ENSMUSG00000031682,0.1935657441099764,0.0,0.0,0.18724350646927804,0.199871946273462,1700011L22Rik
ENSMUSG00000027968,0.19352236856723176,0.0,0.0,0.18720002244437434,0.19982868252657207,Larp7
ENSMUSG00000031893,0.19334288370106095,0.0,0.0,0.1870200889502474,0.19964966000218906,Tsnaxip1
ENSMUSG00000065979,0.19333854803045872,0.0,0.0,0.18701574244775077,0.19964533549479493,Cpped1
ENSMUSG00000031594,0.19330784667074946,0.0,0.0,0.18698496439329085,0.1996147131759589,Fgl1
ENSMUSG00000024440,0.19330276852428543,0.0,0.0,0.18697987356235782,0.19960964810203247,Pcdh12
ENSMUSG00000050357,0.19325784954671854,0.0,0.0,0.18693484239852642,0.19956484474352046,Carmil2
ENSMUSG00000025921,0.19322807766788444,0.0,0.0,0.18690499617832626,0.19953514948138473,Rdh10
ENSMUSG00000044244,0.1932219478879917,0.0,0.0,0.1868988510936195,0.19952903547478884,Il20rb
ENSMUSG00000028601,0.1931560459495921,0.0,0.0,0.18683278464273748,0.19946330308581864,Echdc2
ENSMUSG00000051951,0.19314565208936918,0.0,0.0,0.18682236484131062,0.19945293596125171,Xkr4
ENSMUSG00000035239,0.1931451956854349,0.0,0.0,0.1868219072983069,0.19945248073127225,Neu3
ENSMUSG00000087038,0.1931199168864246,0.0,0.0,0.1867965654140549,0.19942726694972832,2900079G21Rik
ENSMUSG00000031734,0.19301518091082692,0.0,0.0,0.18669156815121415,0.19932280026771118,Irx3
ENSMUSG00000020009,0.19298602980158436,0.0,0.0,0.18666234434372983,0.19929372408530457,Ifngr1
ENSMUSG00000079700,0.1928696090157833,0.0,0.0,0.18654563333455332,0.19917760242406019,Fpr3
ENSMUSG00000005470,0.19280060892992762,0.0,0.0,0.1864764613238146,0.19910877953926265,Asf1b
ENSMUSG00000032327,0.19260144125848486,0.0,0.0,0.18627679774556802,0.19891012300687888,Stra6
ENSMUSG00000097465,0.1924055931782113,0.0,0.0,0.18608046253333582,0.19871477704078533,Gm16619
ENSMUSG00000054733,0.19238077663107234,0.0,0.0,0.18605558429618058,0.19869002408238082,Msra
ENSMUSG00000042215,0.1923626835942007,0.0,0.0,0.1860374462879892,0.1986719774011687,Bag2
ENSMUSG00000032712,0.19232908144230987,0.0,0.0,0.18600376062738833,0.198638461329052,2810474O19Rik
ENSMUSG00000021676,0.1922899698336196,0.0,0.0,0.18596455183650704,0.19859944989531342,Iqgap2
ENSMUSG00000027239,0.19228988719195422,0.0,0.0,0.1859644689895199,0.19859936746529358,Mdk
ENSMUSG00000028478,0.1922043529458921,0.0,0.0,0.1858787222833627,0.1985140522248066,Clta
ENSMUSG00000036882,0.19220081875040965,0.0,0.0,0.1858751793112995,0.19851052707637365,Arhgap33
ENSMUSG00000049313,0.19220071249553644,0.0,0.0,0.18587507279256266,0.19851042109349562,Sorl1
ENSMUSG00000027378,0.19205056754055566,0.0,0.0,0.18572455512995317,0.19836066033774696,Nphp1
ENSMUSG00000045589,0.19181932806453064,0.0,0.0,0.1854927422245542,0.19813001199378083,Frrs1l
ENSMUSG00000036144,0.19177251425820238,0.0,0.0,0.18544581241470984,0.19808331777547422,Meox2
ENSMUSG00000097526,0.1916891351891958,0.0,0.0,0.18536222680579978,0.19800015163119472,Gm26847
ENSMUSG00000049109,0.19162718112204294,0.0,0.0,0.1853001193303166,0.1979383557170036,Themis
ENSMUSG00000089694,0.19158306035316164,0.0,0.0,0.1852558893420634,0.1978943475466287,Nat8f7
ENSMUSG00000022863,0.19155911465761397,0.0,0.0,0.1852318843805423,0.19787046295109523,Btg3
ENSMUSG00000049625,0.19153380074598964,0.0,0.0,0.18520650782479872,0.19784521362248642,Tifab
ENSMUSG00000045515,0.19147990607968926,0.0,0.0,0.18515247981394023,0.19779145642896878,Pou3f3
ENSMUSG00000054422,0.19143272760693766,0.0,0.0,0.1851051846450321,0.19774439826638704,Fabp1
ENSMUSG00000078650,0.1914092467101688,0.0,0.0,0.18508164567908805,0.1977209772375828,G6pc
ENSMUSG00000026158,0.19127275125683296,0.0,0.0,0.18494481281094197,0.19758482965657617,Ogfrl1
ENSMUSG00000033377,0.19120126248898578,0.0,0.0,0.18487314742178365,0.19751352298784441,Palmd
ENSMUSG00000021302,0.19113797366048096,0.0,0.0,0.18480970228703592,0.1974503953154901,Ggps1
