,Endothelial/Mixed_corr,Endothelial/Mixed_pval,Endothelial/Mixed_qval,Endothelial/Mixed_ci_low,Endothelial/Mixed_ci_high,gene_annotation
ENSMUSG00000090353,-0.18656208550725298,8.082741397623476e-211,2.1800227045419267e-210,-0.19806047287461548,-0.17501235917184021,Gm17555
ENSMUSG00000029167,-0.18656270904410824,8.05619768912736e-211,2.1731022375681714e-210,-0.19806109355440887,-0.17501298540654311,Ppargc1a
ENSMUSG00000104789,-0.1865642231669749,7.992103967433348e-211,2.1560502868742285e-210,-0.19806260073948745,-0.17501450608058167,Gm43640
ENSMUSG00000100650,-0.1865654976274192,7.938550266517748e-211,2.1418383092697116e-210,-0.19806386936024692,-0.17501578605529053,Gm28807
ENSMUSG00000060227,-0.18656675216474067,7.886183857317738e-211,2.1279435769300484e-210,-0.19806511814913536,-0.1750170460207124,Casc4
ENSMUSG00000055971,-0.18656718453320079,7.868216168943993e-211,2.1233286808080117e-210,-0.19806554853642525,-0.17501748025994224,Olfr378
ENSMUSG00000111772,-0.18656821303109414,7.825639627597434e-211,2.112071057895704e-210,-0.19806657232158564,-0.17501851320795325,Olfr228
ENSMUSG00000057699,-0.18656892714378492,7.79621307575096e-211,2.104360415961275e-210,-0.19806728316208924,-0.17501923041049078,Tas2r131
ENSMUSG00000094066,-0.18656894557686393,7.795454966151372e-211,2.104360415961275e-210,-0.19806730151070454,-0.17501924892332682,Fam205a2
ENSMUSG00000020335,-0.18657068916104447,7.724077313475306e-211,2.085347989888341e-210,-0.19806903710543092,-0.17502100005175816,Zfp354b
ENSMUSG00000047960,-0.18657120150466155,7.70322771097472e-211,2.0799477263812967e-210,-0.19806954710137256,-0.17502151461223003,Olfr186
ENSMUSG00000074491,-0.1865717740610349,7.67999428477112e-211,2.0739025481709256e-210,-0.1980701170341545,-0.17502208964599966,Clec4g
ENSMUSG00000058052,-0.1865725016586227,7.650570498567077e-211,2.0661842138468692e-210,-0.19807084129770347,-0.17502282039184353,Defb35
ENSMUSG00000034342,-0.18657731302544328,7.458814623808795e-211,2.0146184449257815e-210,-0.1980756306172906,-0.17502765257738032,Cbl
ENSMUSG00000107248,-0.1865782121998383,7.423514354029931e-211,2.0053044825629097e-210,-0.1980765256713179,-0.175028555642552,Gm43851
ENSMUSG00000074401,-0.1865787017336708,7.404366181848164e-211,2.0003520961348606e-210,-0.19807701296190736,-0.1750290472946322,Vmn1r59
ENSMUSG00000021036,-0.18658159453259884,7.292216957314287e-211,1.9702708345546425e-210,-0.19807989250473884,-0.17503195261102475,Sptlc2
ENSMUSG00000062369,-0.18658239014648242,7.261670875115796e-211,1.9622335827189413e-210,-0.1980806844727295,-0.17503275166765384,Usp17lb
ENSMUSG00000004988,-0.18658283335469192,7.244710203916744e-211,1.9578659870838072e-210,-0.19808112564993516,-0.17503319679370108,Fxyd4
ENSMUSG00000060461,-0.18658569455114604,7.1361663219133925e-211,1.9287445567549274e-210,-0.19808397373483005,-0.1750360703711553,Dppa5a
ENSMUSG00000108695,-0.18658712765218383,7.0824115613994255e-211,1.9144266063577968e-210,-0.198085400268546,-0.1750375096735973,Gm2511
ENSMUSG00000090740,-0.18658813149506903,7.044999087187447e-211,1.9045234264327926e-210,-0.1980863995111967,-0.17503851786040342,Gm17079
